stream,trade_id,side,entry_time,exit_time,entry_bar_i,exit_bar_i,entry_px,exit_px,pnl,bars_held,kern_dist_sig,state_sig
LOR,51,SHORT,1702,1750,1702,1750,5168.1,5166.325,1.775,48,0.77075,2
LOR,52,LONG,1750,1771,1750,1771,5166.325,5165.075,-1.25,21,1.12247,2
LOR,53,SHORT,1771,1778,1771,1778,5165.075,5167.475,-2.4,7,1.22893,3
LOR,54,LONG,1778,1787,1778,1787,5167.475,5166.8,-0.675,9,0.90878,0
LOR,55,SHORT,1787,1799,1787,1799,5166.8,5168.35,-1.55,12,0.78682,3
LOR,56,LONG,1799,1840,1799,1840,5168.35,5169.525,1.175,41,1.0616,2
LOR,57,SHORT,1840,1859,1840,1859,5169.525,5168.8,0.725,19,1.43568,3
LOR,58,LONG,1859,1867,1859,1867,5168.8,5167.925,-0.875,8,0.77117,3
LOR,59,SHORT,1867,1872,1867,1872,5167.925,5170.525,-2.6,5,0.81353,3
LOR,60,LONG,1872,1901,1872,1901,5170.525,5172.1,1.575,29,1.30013,2
LOR,61,SHORT,1901,1909,1901,1909,5172.1,5174.45,-2.35,8,0.55712,2
LOR,62,LONG,1909,1926,1909,1926,5174.45,5173.375,-1.075,17,1.30924,1
LOR,63,SHORT,1926,1934,1926,1934,5173.375,5173.45,-0.075,8,1.10468,2
LOR,64,LONG,1934,1935,1934,1935,5173.45,5171.45,-2,1,1.84445,0
LOR,65,SHORT,1935,1957,1935,1957,5171.45,5171.975,-0.525,22,1.74569,2
LOR,66,LONG,1957,2054,1957,2054,5171.975,5181.625,9.65,97,2.27891,1
LOR,67,SHORT,2054,2091,2054,2091,5181.625,5180.85,0.775,37,1.40242,3
LOR,68,LONG,2091,2097,2091,2097,5180.85,5176.375,-4.475,6,0.94903,3
LOR,69,SHORT,2097,2149,2097,2149,5176.375,5171.05,5.325,52,2.0758,2
LOR,70,LONG,2149,2169,2149,2169,5171.05,5169.3,-1.75,20,1.27237,3
