time,open,high,low,close,line4,si_dir,si_close,kernel estimate,synthetic renko close,last_state_code,kern_reg,open long,open short,exit_renko,regime flip → long,regime flip → short,kernel regression estimate,distance above kernel,distance below kernel,buy,sell,stopbuy,stopsell,upper envelope: far,upper envelope: average,upper envelope: near,envelope midline,lower envelope: near,lower envelope: average,lower envelope: far,chars,chars.1,chars.2,chars.3,shapes,shapes.1,volume,dt,dt_utc,close_all,state_code,state_label,kern_est,open_long,open_short,renko_syn_close,lor_flip_long,lor_flip_short,lor_buy_sig,lor_sell_sig,v_buy_sig,v_sell_sig,r_down,rs_down,r_up,rs_up,bar_i,lor_event,lor_trade_id,lor_pos,v_event,v_trade_id,v_pos
2026-02-23T10:58:30+08:00,5194.30000,5194.30000,5194.00000,5194.12500,5193.05002,1,87.40500,5194.65057,5194.32500,3,1,0,0,0,0,0,5194.64187,,,,,,,5202.46782,5199.28853,5196.10924,5194.64187,5193.17451,5189.99522,5186.81593,0,0,0,0,,,4,2026-02-23 10:58:30+08:00,2026-02-23 02:58:30+00:00,0,3,SLOW,5194.64187,0,0,5194.32500,0,0,0,0,0,0,1,1,1,1,282,,,0,,,0
2026-02-23T10:58:45+08:00,5193.90000,5193.90000,5193.50000,5193.60000,5192.97968,-1,87.38500,5194.57453,5193.82500,3,1,0,0,0,0,0,5194.55676,,,,,,,5202.34219,5199.17936,5196.01653,5194.55676,5193.09699,5189.93416,5186.77133,0,0,0,0,,,4,2026-02-23 10:58:45+08:00,2026-02-23 02:58:45+00:00,0,3,SLOW,5194.55676,0,0,5193.82500,0,0,0,0,0,0,1,1,1,1,283,,,0,,,0
2026-02-23T10:59:00+08:00,5193.60000,5193.70000,5193.60000,5193.67500,5192.91457,0,87.38500,5194.49737,5193.82500,3,1,0,0,0,0,0,5194.48242,,,,,,,5202.22000,5199.07661,5195.93322,5194.48242,5193.03163,5189.88823,5186.74484,0,0,0,0,,,2,2026-02-23 10:59:00+08:00,2026-02-23 02:59:00+00:00,0,3,SLOW,5194.48242,0,0,5193.82500,0,0,0,0,0,0,1,1,1,1,284,,,0,,,0
2026-02-23T10:59:15+08:00,5194.00000,5194.30000,5194.00000,5194.22500,5192.85642,1,87.41000,5194.46719,5193.82500,3,1,0,0,0,0,0,5194.45998,,,,,,,5202.14540,5199.02319,5195.90099,5194.45998,5193.01896,5189.89676,5186.77456,0,0,0,0,,5195.90000,5,2026-02-23 10:59:15+08:00,2026-02-23 02:59:15+00:00,0,3,SLOW,5194.45998,0,0,5193.82500,0,0,0,0,1,0,1,1,1,1,285,,,0,,,0
2026-02-23T10:59:30+08:00,5194.80000,5195.90000,5194.80000,5195.62500,5192.80866,-1,87.39500,5194.56187,5194.82500,3,1,0,0,0,0,0,5194.58035,,,,,,,5202.21919,5199.11591,5196.01263,5194.58035,5193.14806,5190.04478,5186.94150,0,0,0,0,,,3,2026-02-23 10:59:30+08:00,2026-02-23 02:59:30+00:00,0,3,SLOW,5194.58035,0,0,5194.82500,0,0,0,0,0,0,1,1,1,1,286,,,0,ENTRY_LONG,1.00000,1
2026-02-23T10:59:45+08:00,5195.90000,5195.90000,5194.60000,5195.12500,5192.77114,0,87.39500,5194.61081,5194.82500,3,1,0,0,0,0,0,5194.61889,,,,,,,5202.21959,5199.13181,5196.04402,5194.61889,5193.19376,5190.10597,5187.01819,0,0,0,0,,,13,2026-02-23 10:59:45+08:00,2026-02-23 02:59:45+00:00,0,3,SLOW,5194.61889,0,0,5194.82500,0,0,0,0,0,0,1,1,1,1,287,,,0,,1.00000,1
2026-02-23T11:00:00+08:00,5195.20000,5195.50000,5194.90000,5195.05000,5192.74431,0,87.39500,5194.65250,5194.82500,3,1,0,0,0,0,0,5194.64732,,,,,,,5202.20991,5199.13761,5196.06531,5194.64732,5193.22934,5190.15704,5187.08474,0,0,0,0,,,15,2026-02-23 11:00:00+08:00,2026-02-23 03:00:00+00:00,0,3,SLOW,5194.64732,0,0,5194.82500,0,0,0,0,0,0,1,1,1,1,288,,,0,,1.00000,1
2026-02-23T11:00:15+08:00,5195.40000,5196.90000,5195.40000,5196.22500,5192.73133,1,87.50000,5194.80153,5195.82500,0,1,0,0,0,0,0,5194.80360,,,,,,,5202.33915,5199.27783,5196.21652,5194.80360,5193.39069,5190.32937,5187.26806,0,0,0,0,,,9,2026-02-23 11:00:15+08:00,2026-02-23 03:00:15+00:00,0,0,NEUTRAL,5194.80360,0,0,5195.82500,0,0,0,0,0,0,1,1,1,1,289,,,0,,1.00000,1
2026-02-23T11:00:30+08:00,5196.20000,5196.20000,5195.90000,5195.97500,5192.73282,0,87.50000,5194.92637,5195.82500,0,1,0,0,0,0,0,5194.92191,,,,,,,5202.42664,5199.37784,5196.32905,5194.92191,5193.51477,5190.46598,5187.41718,0,0,0,0,,,2,2026-02-23 11:00:30+08:00,2026-02-23 03:00:30+00:00,0,0,NEUTRAL,5194.92191,0,0,5195.82500,0,0,0,0,0,0,1,1,1,1,290,,,0,,1.00000,1
2026-02-23T11:00:45+08:00,5195.90000,5195.90000,5195.60000,5195.82500,5192.74874,-1,87.47000,5195.03325,5195.82500,0,1,0,0,0,0,0,5195.03551,,,,,,,5202.50540,5199.47076,5196.43612,5195.03551,5193.63491,5190.60027,5187.56562,0,0,0,0,,,3,2026-02-23 11:00:45+08:00,2026-02-23 03:00:45+00:00,0,0,NEUTRAL,5195.03551,0,0,5195.82500,0,0,0,0,0,0,1,1,1,1,291,,,0,,1.00000,1
2026-02-23T11:01:00+08:00,5196.00000,5197.20000,5196.00000,5196.80000,5192.77745,1,87.48500,5195.22300,5196.32500,0,1,0,0,0,0,0,5195.24366,,,,,,,5202.68580,5199.66243,5196.63906,5195.24366,5193.84826,5190.82489,5187.80152,0,0,0,0,,,18,2026-02-23 11:01:00+08:00,2026-02-23 03:01:00+00:00,0,0,NEUTRAL,5195.24366,0,0,5196.32500,0,0,0,0,0,0,1,1,1,1,292,,,0,,1.00000,1
2026-02-23T11:01:15+08:00,5197.10000,5197.50000,5197.10000,5197.30000,5192.81788,1,87.50000,5195.45093,5196.82500,2,1,0,0,0,0,0,5195.47159,,,,,,,5202.88308,5199.87216,5196.86124,5195.47159,5194.08193,5191.07101,5188.06009,0,0,0,0,,,5,2026-02-23 11:01:15+08:00,2026-02-23 03:01:15+00:00,0,2,FAST,5195.47159,0,0,5196.82500,0,0,0,0,0,0,1,1,1,1,293,,,0,,1.00000,1
